date,year,player_a,player_b,surface,predicted_prob_a,market_prob_b365,clv_b365,market_prob_bf,clv_bf,bet365_true_prob_a,clv_bet365,betfair_true_prob_a,clv_betfair,odds_a,odds_b,odds_a_b365,odds_b_b365,odds_a_bf,odds_b_bf,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2025-01-06,2025,Adam Walton,Arthur Cazaux,Hard,0.40729654,0.39746835443037976,0.00982818556962023,,,0.39746835443037976,0.00982818556962023,,,2.38,1.57,2.38,1.57,,,0.42211055276381915,-0.014814012763819162,0.411764705882353,-0.004468165882352992,0
2025-01-06,2025,Adrian Mannarino,Mariano Navone,Hard,0.52874434,0.6368038740920097,-0.10805953409200963,,,0.6368038740920097,-0.10805953409200963,,,1.5,2.63,1.5,2.63,,,0.6112469437652811,-0.08250260376528107,0.6310904872389792,-0.10234614723897917,0
2025-01-06,2025,Alejandro Davidovich Fokina,Sebastian Korda,Hard,0.32738382,0.5684754521963824,-0.2410916321963824,,,0.5684754521963824,-0.2410916321963824,,,1.67,2.2,1.67,2.2,,,0.5692695214105793,-0.2418857014105793,0.5692695214105793,-0.2418857014105793,0
2025-01-06,2025,Alejandro Tabilo,Nishesh Basavareddy,Hard,0.65787286,0.47368421052631576,0.18418864947368424,,,0.47368421052631576,0.18418864947368424,,,2.0,1.8,2.0,1.8,,,0.46310432569974563,0.19476853430025437,0.47512437810945274,0.18274848189054727,0
2025-01-06,2025,Alexander Bublik,Miomir Kecmanovic,Hard,0.48509702,0.413265306122449,0.071831713877551,,,0.413265306122449,0.071831713877551,,,2.3,1.62,2.3,1.62,,,0.4175,0.06759702000000001,0.41787439613526567,0.06722262386473432,0
2025-01-06,2025,Ben Shelton,Jakub Mensik,Hard,0.62288415,0.5483028720626633,0.07458127793733671,,,0.5483028720626633,0.07458127793733671,,,1.73,2.1,1.73,2.1,,,0.5591939546599496,0.06369019534005038,0.5591939546599496,0.06369019534005038,0
2025-01-06,2025,Benjamin Bonzi,Miomir Kecmanovic,Hard,0.5578816,0.413265306122449,0.14461629387755098,,,0.413265306122449,0.14461629387755098,,,2.3,1.62,2.3,1.62,,,0.4004914004914005,0.1573901995085995,0.40632603406326034,0.15155556593673963,0
2025-01-06,2025,Brandon Nakashima,Rinky Hijikata,Hard,0.7111766,0.6818181818181818,0.02935841818181828,,,0.6818181818181818,0.02935841818181828,,,1.4,3.0,1.4,3.0,,,0.6928104575163399,0.018366142483660197,0.6941431670281994,0.0170334329718006,0
2025-01-06,2025,Cameron Norrie,Facundo Diaz Acosta,Hard,0.7383321,0.7894736842105263,-0.05114158421052628,,,0.7894736842105263,-0.05114158421052628,,,1.2,4.5,1.2,4.5,,,0.772972972972973,-0.034640872972972914,0.8096676737160121,-0.07133557371601207,0
2025-01-06,2025,David Goffin,Rinky Hijikata,Hard,0.6595747,0.586734693877551,0.07284000612244901,,,0.586734693877551,0.07284000612244901,,,1.62,2.3,1.62,2.3,,,0.5681818181818182,0.09139288181818173,0.5879518072289156,0.07162289277108436,0
2025-01-06,2025,Felix Auger Aliassime,Arthur Cazaux,Hard,0.6615918,0.6563245823389022,0.005267217661097723,,,0.6563245823389022,0.005267217661097723,,,1.44,2.75,1.44,2.75,,,0.6415094339622641,0.020082366037735833,0.6435185185185185,0.018073281481481462,1
2025-01-06,2025,Francisco Comesana,Nishesh Basavareddy,Hard,0.5297639,0.2198198198198198,0.30994408018018016,,,0.2198198198198198,0.30994408018018016,,,4.33,1.22,4.33,1.22,,,0.24105461393596989,0.28870928606403007,0.22695035460992907,0.3028135453900709,0
2025-01-06,2025,Gael Monfils,Facundo Diaz Acosta,Hard,0.70946634,0.7291666666666667,-0.019700326666666768,,,0.7291666666666667,-0.019700326666666768,,,1.3,3.5,1.3,3.5,,,0.7239263803680981,-0.014460040368098115,0.7289156626506025,-0.019449322650602507,1
2025-01-06,2025,Gael Monfils,Pedro Martinez,Hard,0.73335207,0.7619047619047619,-0.02855269190476184,,,0.7619047619047619,-0.02855269190476184,,,1.25,4.0,1.25,4.0,,,0.7571157495256167,-0.023763679525616643,0.7566037735849056,-0.02325170358490558,1
2025-01-06,2025,James Duckworth,Li Tu,Hard,0.5613077,0.5684754521963824,-0.0071677521963824375,,,0.5684754521963824,-0.0071677521963824375,,,1.67,2.2,1.67,2.2,,,0.5681818181818182,-0.006874118181818267,0.5714285714285714,-0.010120871428571432,0
2025-01-06,2025,Li Tu,Benjamin Bonzi,Hard,0.2124286,0.3436754176610979,-0.1312468176610979,,,0.3436754176610979,-0.1312468176610979,,,2.75,1.44,2.75,1.44,,,0.3488372093023256,-0.1364086093023256,0.3488372093023256,-0.1364086093023256,0
2025-01-06,2025,Lorenzo Sonego,Alex Michelsen,Hard,0.48308018,0.39746835443037976,0.08561182556962027,,,0.39746835443037976,0.08561182556962027,,,2.38,1.57,2.38,1.57,,,0.38592233009708743,0.0971578499029126,0.3864734299516908,0.09660675004830921,0
2025-01-06,2025,Lorenzo Sonego,Gabriel Diallo,Hard,0.49859905,0.47368421052631576,0.024914839473684225,,,0.47368421052631576,0.024914839473684225,,,2.0,1.8,2.0,1.8,,,0.4910025706940874,0.007596479305912562,0.4872448979591837,0.011354152040816301,1
2025-01-06,2025,Marcos Giron,Aleksandar Vukic,Hard,0.5146569,0.47368421052631576,0.04097268947368421,,,0.47368421052631576,0.04097268947368421,,,2.0,1.8,2.0,1.8,,,0.48843187660668386,0.026225023393316116,0.48469387755102045,0.029963022448979526,1
2025-01-06,2025,Marcos Giron,Denis Shapovalov,Hard,0.3577159,0.3436754176610979,0.014040482338902094,,,0.3436754176610979,0.014040482338902094,,,2.75,1.44,2.75,1.44,,,0.352803738317757,0.004912161682242955,0.3564814814814815,0.0012344185185184653,1
2025-01-06,2025,Marcos Giron,Felix Auger Aliassime,Hard,0.42113262,0.413265306122449,0.007867313877551019,,,0.413265306122449,0.007867313877551019,,,2.3,1.62,2.3,1.62,,,0.411910669975186,0.009221950024814018,0.411910669975186,0.009221950024814018,0
2025-01-06,2025,Nishesh Basavareddy,Alex Michelsen,Hard,0.33243138,0.3796526054590571,-0.0472212254590571,,,0.3796526054590571,-0.0472212254590571,,,2.5,1.53,2.5,1.53,,,0.37081339712918665,-0.03838201712918665,0.39260969976905313,-0.060178319769053135,1
2025-01-06,2025,Nuno Borges,Jakub Mensik,Hard,0.34849003,0.3436754176610979,0.0048146123389021245,,,0.3436754176610979,0.0048146123389021245,,,2.75,1.44,2.75,1.44,,,0.33409090909090905,0.014399120909090957,0.33409090909090905,0.014399120909090957,1
2025-01-06,2025,Nuno Borges,Luciano Darderi,Hard,0.5914526,0.7017543859649122,-0.11030178596491225,,,0.7017543859649122,-0.11030178596491225,,,1.36,3.2,1.36,3.2,,,0.6923076923076924,-0.1008550923076924,0.6852248394004282,-0.09377223940042823,1
2025-01-06,2025,Nuno Borges,Mariano Navone,Hard,0.5730622,0.6818181818181818,-0.1087559818181818,,,0.6818181818181818,-0.1087559818181818,,,1.4,3.0,1.4,3.0,,,0.6628440366972478,-0.08978183669724782,0.676605504587156,-0.103543304587156,1
2025-01-06,2025,Pablo Carreno Busta,Jakub Mensik,Hard,0.42846256,0.23809523809523808,0.1903673219047619,,,0.23809523809523808,0.1903673219047619,,,4.0,1.25,4.0,1.25,,,,,0.24906367041198504,0.17939888958801495,0
2025-01-06,2025,Roberto Bautista Agut,Alejandro Davidovich Fokina,Hard,0.5894183,0.4516971279373368,0.13772117206266316,,,0.4516971279373368,0.13772117206266316,,,2.1,1.73,2.1,1.73,,,0.46410256410256406,0.1253157358974359,0.4593908629441624,0.13002743705583752,0
2025-01-06,2025,Roberto Carballes Baena,Daniel Altmaier,Hard,0.59703404,0.7291666666666667,-0.1321326266666667,,,0.7291666666666667,-0.1321326266666667,,,1.3,3.5,1.3,3.5,,,,,0.7331975560081467,-0.1361635160081467,1
2025-01-06,2025,Roberto Carballes Baena,Francisco Cerundolo,Hard,0.4576729,0.36319612590799033,0.09447677409200966,,,0.36319612590799033,0.09447677409200966,,,2.63,1.5,2.63,1.5,,,0.36492890995260663,0.09274399004739337,0.36492890995260663,0.09274399004739337,1
2025-01-06,2025,Roberto Carballes Baena,Zizou Bergs,Hard,0.49099085,0.413265306122449,0.07772554387755098,,,0.413265306122449,0.07772554387755098,,,2.3,1.62,2.3,1.62,,,0.411910669975186,0.07908018002481398,0.3990384615384615,0.09195238846153847,0
2025-01-06,2025,Roman Safiullin,Manuel Guinard,Hard,0.72298783,0.8103727714748785,-0.08738494147487852,,,0.8103727714748785,-0.08738494147487852,,,1.17,5.0,1.17,5.0,,,0.8057784911717496,-0.0827906611717496,0.8082408874801901,-0.08525305748019008,0
2025-01-06,2025,Sebastian Baez,Facundo Diaz Acosta,Hard,0.57176477,0.47368421052631576,0.09808055947368427,,,0.47368421052631576,0.09808055947368427,,,2.0,1.8,2.0,1.8,,,0.46938775510204084,0.1023770148979592,0.46938775510204084,0.1023770148979592,0
2025-01-06,2025,Sumit Nagal,Alex Michelsen,Hard,0.20431189,0.18962722852512157,0.01468466147487843,,,0.18962722852512157,0.01468466147487843,,,5.0,1.17,5.0,1.17,,,0.21490467937608318,-0.010592789376083184,0.1934477379095164,0.010864152090483609,0
2025-01-06,2025,Tommy Paul,Manuel Guinard,Hard,0.90791804,0.893743793445879,0.014174246554121028,,,0.893743793445879,0.014174246554121028,,,1.07,9.0,1.07,9.0,,,0.9088607594936708,-0.0009427194936708627,0.9080944350758854,-0.00017639507588540493,1
2025-01-06,2025,Tommy Paul,Rinky Hijikata,Hard,0.8491573,0.7291666666666667,0.11999063333333326,,,0.7291666666666667,0.11999063333333326,,,1.3,3.5,1.3,3.5,,,0.7607476635514019,0.08840963644859812,0.7579143389199254,0.09124296108007457,1
2025-01-06,2025,Yannick Hanfmann,Brandon Nakashima,Hard,0.41106337,0.27083333333333337,0.1402300366666666,,,0.27083333333333337,0.1402300366666666,,,3.5,1.3,3.5,1.3,,,0.2655935613682092,0.14546980863179076,0.26232741617357,0.14873595382642996,0
2025-01-06,2025,Yoshihito Nishioka,Thanasi Kokkinakis,Hard,0.5056235,0.39746835443037976,0.10815514556962025,,,0.39746835443037976,0.10815514556962025,,,2.38,1.57,2.38,1.57,,,0.42211055276381915,0.08351294723618086,0.41463414634146345,0.09098935365853655,0
2025-01-06,2025,Zizou Bergs,Isaac Becroft,Hard,0.8290612,0.9428729894620077,-0.11381178946200765,,,0.9428729894620077,-0.11381178946200765,,,1.03,17.0,1.03,17.0,,,0.9578387228817028,-0.12877752288170274,0.9578387228817028,-0.12877752288170274,1
2025-01-06,2025,Zizou Bergs,Luca Nardi,Hard,0.68200666,0.586734693877551,0.09527196612244904,,,0.586734693877551,0.09527196612244904,,,1.62,2.3,1.62,2.3,,,0.5925925925925927,0.08941406740740732,0.5845410628019323,0.09746559719806769,1
2025-01-13,2025,Adrian Mannarino,Karen Khachanov,Hard,0.14956895,0.13580246913580246,0.013766480864197544,,,0.13580246913580246,0.013766480864197544,,,7.0,1.1,7.0,1.1,,,0.14339622641509434,0.0061727235849056705,0.1395348837209302,0.010034066279069803,0
2025-01-13,2025,Aleksandar Vukic,Sebastian Korda,Hard,0.2261527,0.2198198198198198,0.006332880180180217,,,0.2198198198198198,0.006332880180180217,,,4.33,1.22,4.33,1.22,,,0.23572744014732966,-0.009574740147329647,0.2281639928698752,-0.0020112928698751975,1
2025-01-13,2025,Alex De Minaur,Tristan Boyer,Hard,0.8867307,0.9357454772301934,-0.04901477723019343,,,0.9357454772301934,-0.04901477723019343,,,1.03,15.0,1.03,15.0,,,0.9439050701186623,-0.05717437011866233,0.9433962264150944,-0.05666552641509437,1
2025-01-13,2025,Alexander Bublik,Francisco Cerundolo,Hard,0.41532013,0.39746835443037976,0.017851775569620254,,,0.39746835443037976,0.017851775569620254,,,2.38,1.57,2.38,1.57,,,0.4004914004914005,0.014828729508599536,0.3995098039215686,0.015810326078431414,0
2025-01-13,2025,Alexander Shevchenko,Carlos Alcaraz,Hard,0.07904067,0.03365544818393868,0.04538522181606131,,,0.03365544818393868,0.04538522181606131,,,29.0,1.01,29.0,1.01,,,0.02822357498616492,0.05081709501383508,0.02822357498616492,0.05081709501383508,0
2025-01-13,2025,Alexander Zverev,Lucas Pouille,Hard,0.9226389,0.949050949050949,-0.02641204905094896,,,0.949050949050949,-0.02641204905094896,,,1.02,19.0,1.02,19.0,,,0.9526654411764706,-0.030026541176470523,0.9522278364722094,-0.029588936472209393,1
2025-01-13,2025,Alexander Zverev,Pedro Martinez,Hard,0.9322709,0.9536784741144415,-0.021407574114441497,,,0.9536784741144415,-0.021407574114441497,,,1.02,21.0,1.02,21.0,,,0.9649484536082475,-0.032677553608247534,0.9649484536082475,-0.032677553608247534,1
2025-01-13,2025,Alexandre Muller,Nuno Borges,Hard,0.534274,0.43152454780361754,0.10274945219638248,,,0.43152454780361754,0.10274945219638248,,,2.2,1.67,2.2,1.67,,,0.425,0.10927400000000004,0.425,0.10927400000000004,0
