year,bucket,n,mean_raw_prob,mean_calibrated_prob,mean_actual_result,raw_error,calibrated_error
2025,favorite,4250,0.6626577204423528,0.6560607685471355,0.6929411764705883,0.030283456028235456,0.03688040792345282
2025,balanced,1494,0.49699462660642574,0.4761929099260162,0.46318607764390896,0.03380854896251678,0.01300683228210725
2025,underdog,2808,0.3570759609337607,0.3308577554384281,0.2930911680911681,0.06398479284259262,0.03776658734726002
2026,favorite,1620,0.6644060716851852,0.6583913936166069,0.7160493827160493,0.05164331103086417,0.05765798909944242
2026,balanced,508,0.49939992311023623,0.4790027623313218,0.43503937007874016,0.06436055303149607,0.04396339225258161
2026,underdog,1081,0.36389313736910267,0.3379588233588209,0.2432932469935245,0.12059989037557817,0.09466557636529638
