date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365
2025-01-06,2025,15,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301003,Hard,Yusuke Takahashi,Ryotaro Taguchi,0.53800523,65,0.5,0.03800523,0,0,1.8333333333333337,1.8333333333333337,1,bet365_via_sofascore,latest_pre_match_assumed,0.6115008,0.11150079999999996,0.5646661004663996,0.06466610046639965
2025-01-06,2025,16,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303009,Hard,Marat Sharipov,Zdenek Kolar,0.59088796,57,0.6626506024096386,-0.07176264240963859,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.5245789,-0.13807170240963862,0.6231739410909729,-0.03947666131866567
2025-01-06,2025,17,2025-2795,Nonthaburi 2 CH,2025-01-06,SF,13293764,Hard,Marat Sharipov,Jie Cui,0.60370076,-14,0.625,-0.021299240000000053,4,4,1.5,2.5,0,bet365_via_sofascore,latest_pre_match_assumed,0.36396384,-0.26103616,0.7668165475896901,0.1418165475896901
2025-01-06,2025,18,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299089,Hard,Daniel Cukierman,Mitsuki Wei Kang Leong,0.45402807,101,0.5766129032258064,-0.12258483322580638,1,1,1.6153846153846154,2.2,0,bet365_via_sofascore,latest_pre_match_assumed,0.69882834,0.12221543677419366,0.6199042541700615,0.04329135094425507
2025-01-06,2025,19,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299113,Hard,Christian Langmo,Francesco Maestrelli,0.3499421,-157,0.3538083538083538,-0.0038662538083538145,0,0,2.63,1.44,0,bet365_via_sofascore,latest_pre_match_assumed,0.47803724,0.12422888619164618,0.5670017198568477,0.21319336604849387
2025-01-06,2025,20,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303007,Hard,Enrico Dalla Valle,Hikaru Shiraishi,0.72357565,306,0.6086956521739131,0.11487999782608693,1,1,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.3952127,-0.2134829521739131,0.7602829595766495,0.1515873074027364
2025-01-06,2025,21,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293760,Hard,Enrico Dalla Valle,Jakub Paul,0.5022472,136,0.4429708222811671,0.05927637771883293,2,2,2.1,1.67,0,bet365_via_sofascore,latest_pre_match_assumed,0.77575207,0.33278124771883294,0.36541256675022943,-0.07755825553093765
2025-01-06,2025,22,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299095,Hard,Zdenek Kolar,Ryuki Matsuda,0.5581312,125,0.5,0.05813120000000005,1,1,1.8333333333333337,1.8333333333333337,1,bet365_via_sofascore,latest_pre_match_assumed,0.56384796,0.06384796000000004,0.4487598127332129,-0.051240187266787085
2025-01-06,2025,23,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293755,Hard,Corentin Denolly,Rio Noguchi,0.5155967,8,0.4109947643979057,0.1046019356020943,2,2,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.3815625,-0.029432264397905694,0.25014477749695496,-0.16084998690095076
2025-01-06,2025,24,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299120,Hard,Oleg Prihodko,Andre Ilagan,0.49799055,78,0.4109947643979057,0.08699578560209426,0,0,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.6607282,0.24973343560209427,0.33806191507241407,-0.07293284932549166
