date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365,calibrated_prob_a,calibrated_clv
2025-01-06,2025,14,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299094,Hard,Yusuke Takahashi,Saba Purtseladze,0.4879022,-58,0.5575221238938053,-0.0696199238938052,1,1,1.6666666666666663,2.1,1,bet365_via_sofascore,latest_pre_match_assumed,0.43826675,-0.1192553738938053,0.4290151780146501,-0.1285069458791551,0.45195729537366547,-0.10556482852013982
2025-01-06,2025,15,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301003,Hard,Yusuke Takahashi,Ryotaro Taguchi,0.53800523,65,0.5,0.03800523,0,0,1.8333333333333337,1.8333333333333337,1,bet365_via_sofascore,latest_pre_match_assumed,0.6115008,0.1115007999999999,0.5646661004663996,0.0646661004663996,0.5030487804878047,0.0030487804878046587
2025-01-06,2025,16,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303009,Hard,Marat Sharipov,Zdenek Kolar,0.59088796,57,0.6626506024096386,-0.0717626424096385,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.5245789,-0.1380717024096386,0.6231739410909729,-0.0394766613186656,0.5889724310776943,-0.07367817133194432
2025-01-06,2025,17,2025-2795,Nonthaburi 2 CH,2025-01-06,SF,13293764,Hard,Marat Sharipov,Jie Cui,0.60370076,-14,0.625,-0.02129924,4,4,1.5,2.5,0,bet365_via_sofascore,latest_pre_match_assumed,0.36396384,-0.26103616,0.7668165475896901,0.1418165475896901,0.5889724310776943,-0.03602756892230574
2025-01-06,2025,18,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299089,Hard,Daniel Cukierman,Mitsuki Wei Kang Leong,0.45402807,101,0.5766129032258064,-0.1225848332258063,1,1,1.6153846153846154,2.2,0,bet365_via_sofascore,latest_pre_match_assumed,0.69882834,0.1222154367741936,0.6199042541700615,0.043291350944255,0.4397590361445783,-0.1368538670812281
2025-01-06,2025,19,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299113,Hard,Christian Langmo,Francesco Maestrelli,0.3499421,-157,0.3538083538083538,-0.0038662538083538,0,0,2.63,1.44,0,bet365_via_sofascore,latest_pre_match_assumed,0.47803724,0.1242288861916461,0.5670017198568477,0.2131933660484938,0.3168498168498168,-0.036958536958537014
2025-01-06,2025,20,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303007,Hard,Enrico Dalla Valle,Hikaru Shiraishi,0.72357565,306,0.6086956521739131,0.1148799978260869,1,1,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.3952127,-0.2134829521739131,0.7602829595766495,0.1515873074027364,0.7251908396946565,0.11649518752074339
2025-01-06,2025,21,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293760,Hard,Enrico Dalla Valle,Jakub Paul,0.5022472,136,0.4429708222811671,0.0592763777188329,2,2,2.1,1.67,0,bet365_via_sofascore,latest_pre_match_assumed,0.77575207,0.3327812477188329,0.3654125667502294,-0.0775582555309376,0.5005945303210465,0.05762370803987943
2025-01-06,2025,22,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299095,Hard,Zdenek Kolar,Ryuki Matsuda,0.5581312,125,0.5,0.0581312,1,1,1.8333333333333337,1.8333333333333337,1,bet365_via_sofascore,latest_pre_match_assumed,0.56384796,0.06384796,0.4487598127332129,-0.051240187266787,0.5370786516853931,0.03707865168539315
2025-01-06,2025,23,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293755,Hard,Corentin Denolly,Rio Noguchi,0.5155967,8,0.4109947643979057,0.1046019356020943,2,2,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.3815625,-0.0294322643979056,0.2501447774969549,-0.1608499869009507,0.5005945303210465,0.08959976592314078
2025-01-06,2025,24,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299120,Hard,Oleg Prihodko,Andre Ilagan,0.49799055,78,0.4109947643979057,0.0869957856020942,0,0,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.6607282,0.2497334356020942,0.338061915072414,-0.0729328493254916,0.45195729537366547,0.04096253097575975
2025-01-06,2025,25,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299121,Hard,Geoffrey Blancaneaux,Daniel Michalski,0.610385,126,0.6880733944954129,-0.0776883944954129,0,0,1.36,3.0,0,bet365_via_sofascore,latest_pre_match_assumed,0.47323537,-0.2148380244954129,0.6921048971934215,0.0040315026980085,0.5962732919254657,-0.0918001025699472
