date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2025-06-30,Challenger,Norbert Gombos,Tristan Lamasine,Clay,0.0371,Small,2.09,1.36,1,0.75,209.68
2025-06-30,Challenger,David Jorda Sanchis,Arthur Nagel ,Clay,0.0437,Small,2.09,1.44,0,-2.09,209.68
2025-06-30,Challenger,Jacopo Berrettini,Thomas Faurel,Clay,0.0426,Small,2.09,1.44,1,0.92,209.68
2025-06-30,Challenger,Radu Albot,Tommaso Compagnucci,Clay,0.038,Small,2.09,1.4,1,0.84,209.68
2025-07-07,Challenger,Jozef Kovalik,Tom Zeuch,Clay,0.0399,Small,2.09,1.07,1,0.15,207.74
2025-07-07,Challenger,Denis Yevseyev,Sebastian Gima,Clay,0.0342,Small,2.09,1.33,0,-2.09,207.74
2025-07-14,Challenger,Stefano Travaglia,Martin Krumich,Clay,0.0342,Small,2.07,1.33,0,-2.07,205.83
2025-07-14,Challenger,Jan Choinski,Manvydas Balciunas,Clay,0.0338,Small,2.07,1.08,1,0.17,205.83
2025-07-21,Challenger,Mariano Kestelboim,Nikola Djosic,Clay,0.0333,Small,2.05,1.14,1,0.29,206.13
2025-07-28,Challenger,Gonzalo Villanueva,Fons Van Sambeek,Clay,0.0303,Small,2.06,1.12,1,0.26,206.38
2025-08-04,Challenger,Jan Choinski,Geoffrey Blancaneaux,Clay,0.0371,Small,2.06,1.36,0,-2.06,204.32
2025-08-11,Challenger,Franco Agamenone,Stefan Latinovic,Clay,0.0333,Small,2.04,1.14,1,0.29,204.79
2025-08-11,Challenger,Kirill Kivattsev,Viktor Kirov,Clay,0.0489,Small,2.04,1.08,1,0.17,204.79
2025-08-18,Challenger,Dali Blanch,Anas Mazdrashki,Clay,0.0377,Small,2.04,1.36,1,0.74,205.53
2025-09-01,Challenger,Miguel Damas,Szymon Kielan,Clay,0.0333,Small,2.05,1.14,1,0.29,206.64
2025-09-01,Challenger,Marco Trungelliti,Sandro Kopp,Clay,0.0336,Small,2.05,1.4,1,0.82,206.64
2025-09-08,Challenger,Dimitar Kuzmanov,Alan Wazny,Clay,0.0338,Small,2.06,1.08,1,0.16,207.32
2025-09-08,Challenger,Marco Trungelliti,Franco Agamenone,Clay,0.0354,Small,2.06,1.25,1,0.52,207.32
2025-09-15,Challenger,Santiago De La Fuente,Julian Cundom,Clay,0.0336,Small,2.07,1.4,1,0.83,208.17
2025-09-15,Challenger,Dennis Novak,Syl Gaxherri,Clay,0.0484,Small,2.07,1.01,1,0.03,208.17
2025-09-16,Challenger,Gianluca Cadenasso ,Alejandro Mateo Berge Nourescu,Clay,0.0489,Small,2.08,1.08,1,0.17,208.35
2025-09-22,Challenger,Javier Barranco Cosano,Francisco Rocha,Clay,0.0332,Small,2.08,1.2,0,-2.08,206.27
2025-09-29,Challenger,Marco Trungelliti,Henri Squire,Clay,0.0336,Small,2.06,1.4,1,0.82,205.92
2025-09-29,Challenger,Dusan Lajovic,Daniel Rincon,Clay,0.0371,Small,2.06,1.36,1,0.74,205.92
2025-09-29,Challenger,Carlos Taberner,Javier Barranco Cosano,Clay,0.0336,Small,2.06,1.4,0,-2.06,205.92
2025-09-29,Challenger,Enrico Dalla Valle,Hugo Maia,Clay,0.0399,Small,2.06,1.07,1,0.15,205.92
2025-10-06,Challenger,Jan Choinski,Miguel Damas,Clay,0.0371,Small,2.05,1.36,1,0.74,207.63
2025-10-06,Challenger,Carlos Sanchez Jover,Sergio Planella Hernandez,Clay,0.0333,Small,2.05,1.14,1,0.29,207.63
2025-10-06,Challenger,Tomas Barrios Vera,Juan Bautista Torres,Clay,0.0337,Small,2.05,1.33,1,0.68,207.63
2025-10-13,Challenger,Pedro Boscardin Dias,Paulo Andre Saraiva Dos Santos,Clay,0.038,Small,2.07,1.4,1,0.83,208.46
2025-10-20,Challenger,Roman Andres Burruchaga,Joao Eduardo Schiessl,Clay,0.0332,Small,2.08,1.2,1,0.42,208.87
