date,player_a,player_b,surface,predicted_prob_a,betfair_true_prob_a,clv_betfair,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-01-04,Adam Walton,Rinky Hijikata,Hard,0.55793613,0.44776119402985065,0.11017493597014932,0.4566326530612245,0.10130347693877545,0.4559585492227979,0.10197758077720209,0
2026-01-04,Alejandro Davidovich Fokina,Brandon Nakashima,Hard,0.61668986,0.5990338164251208,0.017656043574879265,0.5955334987593052,0.021156361240694865,0.6024096385542168,0.014280221445783225,0
2026-01-04,Alex Michelsen,Learner Tien,Hard,0.3420368,0.37089201877934275,-0.028855218779342773,0.37772397094431,-0.03568717094431001,0.3834951456310679,-0.04145834563106793,1
2026-01-04,Cameron Norrie,Ugo Humbert,Hard,0.44406095,0.43209876543209885,0.011962184567901157,0.44050632911392407,0.003554620886075943,0.44999999999999996,-0.005939049999999946,1
2026-01-04,Camilo Ugo Carabelli,Learner Tien,Hard,0.24316213,0.16550764951321278,0.07765448048678722,0.18720748829953196,0.055954641700468044,0.17664670658682635,0.06651542341317365,0
2026-01-04,Daniil Medvedev,Frances Tiafoe,Hard,0.7134046,0.7200811359026369,-0.006676535902636838,0.7181628392484342,-0.004758239248434104,0.7274590163934426,-0.014054416393442515,1
2026-01-04,Denis Shapovalov,Raphael Collignon,Hard,0.6531087,0.5349999999999999,0.11810870000000007,0.5218508997429305,0.13125780025706946,0.5527638190954773,0.10034488090452265,0
2026-01-04,Frances Tiafoe,Aleksandar Vukic,Hard,0.6404481,0.653061224489796,-0.012613124489796013,0.6398104265402844,0.0006376734597155487,0.6584821428571429,-0.01803404285714294,1
2026-01-04,Grigor Dimitrov,Pablo Carreno Busta,Hard,0.66678107,0.6561085972850679,0.010672472714932102,0.6447058823529412,0.022075187647058736,0.6436781609195402,0.023102909080459755,1
2026-01-04,James Duckworth,Alex Michelsen,Hard,0.3714276,0.4342431761786601,-0.06281557617866007,0.43797468354430374,-0.06654708354430372,0.44999999999999996,-0.07857239999999993,0
2026-01-04,Kamil Majchrzak,Daniel Altmaier,Hard,0.5200994,0.48989898989898994,0.030200410101010045,,,0.49481865284974097,0.02528074715025902,1
2026-01-04,Kamil Majchrzak,Reilly Opelka,Hard,0.44177413,0.468671679197995,-0.02689754919799503,0.4666666666666667,-0.024892536666666687,0.4728682170542636,-0.031094087054263586,1
2026-01-04,Marton Fucsovics,Daniil Medvedev,Hard,0.2348729,0.22939068100358423,0.005482218996415766,0.24105461393596989,-0.00618171393596989,0.25343811394891946,-0.018565213948919468,0
2026-01-04,Nick Kyrgios,Aleksandar Kovacevic,Hard,0.6377059,0.37411764705882355,0.2635882529411765,0.3931203931203931,0.24458550687960695,0.39759036144578314,0.2401155385542169,0
2026-01-04,Quentin Halys,Alexei Popyrin,Hard,0.32019496,0.38242280285035635,-0.062227842850356374,0.3911980440097799,-0.07100308400977995,0.3857493857493858,-0.0655544257493858,1
2026-01-04,Reilly Opelka,Dane Sweeny,Hard,0.7965376,0.6057692307692307,0.19076836923076923,0.6088019559902201,0.18773564400977982,0.6161137440758293,0.18042385592417065,1
2026-01-04,Tomas Machac,Jiri Lehecka,Hard,0.43852025,0.35813953488372097,0.08038071511627903,0.35933806146572106,0.07918218853427894,0.36342592592592593,0.07509432407407407,0
2026-01-04,Valentin Vacherot,Sebastian Korda,Hard,0.46668765,0.3627906976744186,0.10389695232558138,0.3684210526315789,0.09826659736842108,0.35597189695550346,0.11071575304449655,0
2026-01-05,Adrian Mannarino,Marin Cilic,Hard,0.46603927,0.45864661654135336,0.0073926534586466475,0.45038167938931295,0.015657590610687055,0.4677002583979328,-0.0016609883979327722,0
2026-01-05,Alexandre Muller,Miomir Kecmanovic,Hard,0.52236164,0.43640897755610975,0.08595266244389022,0.42929292929292934,0.09306871070707062,0.4292803970223325,0.09308124297766746,1
2026-01-05,Andrey Rublev,Yibing Wu,Hard,0.6845159,0.6621923937360178,0.022323506263982162,0.6326034063260341,0.05191249367396589,0.6470588235294118,0.03745707647058816,1
2026-01-05,Botic Van De Zandschulp,Alexander Bublik,Hard,0.28090468,0.3517241379310345,-0.0708194579310345,0.34418604651162793,-0.06328136651162791,0.3488372093023256,-0.06793252930232557,0
2026-01-05,Damir Dzumhur,Nuno Borges,Hard,0.34671128,0.3439635535307517,0.0027477264692483128,0.33793103448275863,0.00878024551724138,0.3473193473193473,-0.0006080673193473163,0
2026-01-05,Francisco Comesana,Juncheng Shang,Hard,0.51080656,0.3579676674364896,0.1528388925635104,0.37259615384615385,0.13821040615384617,0.37825059101654845,0.13255596898345157,0
2026-01-05,Gabriel Diallo,Coleman Wong,Hard,0.7288927,0.6560364464692484,0.07285625353075154,,,0.6629213483146068,0.06597135168539314,0
2026-01-05,Jesper De Jong,Gabriel Diallo,Hard,0.41164422,0.32372505543237257,0.08791916456762744,0.31919642857142855,0.09244779142857146,0.3333333333333333,0.07831088666666669,0
2026-01-05,Karen Khachanov,Michael Mmoh,Hard,0.7669136,0.7200811359026369,0.04683246409736308,0.7078891257995735,0.05902447420042645,0.7157894736842104,0.05112412631578955,0
2026-01-05,Lorenzo Sonego,Juncheng Shang,Hard,0.5941149,0.425061425061425,0.16905347493857498,0.42462311557788945,0.16949178442211055,0.42211055276381915,0.17200434723618085,0
2026-01-05,Lorenzo Sonego,Rei Sakamoto,Hard,0.73222,0.6513761467889908,0.08084385321100918,0.6447058823529412,0.08751411764705874,0.6470588235294118,0.08516117647058818,1
2026-01-05,Marcos Giron,Alexandre Muller,Hard,0.4975767,0.5399999999999999,-0.04242329999999994,0.5396419437340153,-0.04206524373401532,0.522077922077922,-0.024501222077922047,1
2026-01-05,Marcos Giron,Laslo Djere,Hard,0.50026494,0.5742574257425743,-0.07399248574257433,0.5620253164556962,-0.06176037645569621,0.5597964376590331,-0.059531497659033095,1
2026-01-05,Mariano Navone,Coleman Wong,Hard,0.54473126,0.48499999999999993,0.05973126000000012,0.4717948717948718,0.07293638820512827,0.45273631840796025,0.0919949415920398,0
2026-01-05,Marin Cilic,Nuno Borges,Hard,0.5116895,0.49246231155778897,0.01922718844221105,0.4974226804123712,0.01426681958762882,0.5012853470437018,0.010404152956298263,0
2026-01-05,Michael Mmoh,Alejandro Tabilo,Hard,0.33230227,0.40096618357487923,-0.06866391357487922,0.40942928039702237,-0.07712701039702236,0.3925233644859813,-0.060221094485981286,1
2026-01-05,Yibing Wu,Fabian Marozsan,Hard,0.37667108,0.4285714285714286,-0.05190034857142861,0.43544303797468353,-0.05877195797468354,0.4554455445544554,-0.07877446455445541,1
2026-01-12,Adrian Mannarino,Eliot Spizzirri,Hard,0.5952578,0.38571428571428573,0.20954351428571422,0.38875305623471884,0.2065047437652811,0.4029850746268657,0.19227272537313422,0
2026-01-12,Alejandro Davidovich Fokina,Rinky Hijikata,Hard,0.7950449,0.6944444444444444,0.10060045555555563,,,0.6896551724137931,0.1053897275862069,1
