date,player_a_id,player_b_id,player_a_name,player_b_name,surface,elo_diff,surface_elo_diff,rank_diff,points_diff,recent_form_diff,recent_surface_form_diff,win_pct_diff,matches_played_diff,result
2020-01-06,104926,104545,Fabio Fognini,John Isner,Hard,0.0,0.0,7,520,0.0,0.0,0.0,0,1
2020-01-06,104545,104926,John Isner,Fabio Fognini,Hard,0.0,0.0,-7,-520,-0.0,-0.0,-0.0,0,0
2020-01-06,105882,126203,Stefano Travaglia,Taylor Fritz,Hard,0.0,0.0,-51,-678,0.0,0.0,0.0,0,1
2020-01-06,126203,105882,Taylor Fritz,Stefano Travaglia,Hard,0.0,0.0,51,678,-0.0,-0.0,-0.0,0,0
2020-01-06,134770,104926,Casper Ruud,Fabio Fognini,Hard,-16.0,-16.0,-41,-1341,-0.5,-0.5,-1.0,-1,1
2020-01-06,104926,134770,Fabio Fognini,Casper Ruud,Hard,16.0,16.0,41,1341,0.5,0.5,1.0,1,0
2020-01-06,105882,126340,Stefano Travaglia,Viktor Durasovic,Hard,31.26369320647791,31.26369320647791,247,520,1.0,1.0,1.0,0,1
2020-01-06,126340,105882,Viktor Durasovic,Stefano Travaglia,Hard,-31.26369320647791,-31.26369320647791,-247,-520,-1.0,-1.0,-1.0,0,0
2020-01-06,134770,104545,Casper Ruud,John Isner,Hard,32.73630679352209,32.73630679352209,-34,-821,1.0,1.0,1.0,0,1
2020-01-06,104545,134770,John Isner,Casper Ruud,Hard,-32.73630679352209,-32.73630679352209,34,821,-1.0,-1.0,-1.0,0,0
2020-01-06,105332,111797,Benoit Paire,Nicolas Jarry,Hard,18.130088718726938,18.130088718726938,53,863,0.5,0.5,0.5,1,1
2020-01-06,111797,105332,Nicolas Jarry,Benoit Paire,Hard,-18.130088718726938,-18.130088718726938,-53,-863,-0.5,-0.5,-0.5,-1,0
2020-01-06,126203,126340,Taylor Fritz,Viktor Durasovic,Hard,13.827820328201597,13.827820328201597,298,1198,0.0,0.0,0.0,-1,1
2020-01-06,126340,126203,Viktor Durasovic,Taylor Fritz,Hard,-13.827820328201597,-13.827820328201597,-298,-1198,-0.0,-0.0,-0.0,1,0
2020-01-06,105227,110602,Marin Cilic,Dennis Novak,Hard,0.0,0.0,67,641,0.0,0.0,0.0,0,1
2020-01-06,110602,105227,Dennis Novak,Marin Cilic,Hard,0.0,0.0,-67,-641,-0.0,-0.0,-0.0,0,0
2020-01-06,106233,106043,Dominic Thiem,Diego Schwartzman,Hard,16.0,16.0,9,3700,0.5,0.5,0.0,-1,1
2020-01-06,106043,106233,Diego Schwartzman,Dominic Thiem,Hard,-16.0,-16.0,-9,-3700,-0.5,-0.5,-0.0,1,0
2020-01-06,104925,106421,Novak Djokovic,Daniil Medvedev,Hard,44.46063367646002,44.46063367646002,3,3350,0.0,0.0,0.0,3,1
2020-01-06,106421,104925,Daniil Medvedev,Novak Djokovic,Hard,-44.46063367646002,-44.46063367646002,-3,-3350,-0.0,-0.0,-0.0,-3,0
2020-01-06,105583,111575,Dusan Lajovic,Karen Khachanov,Hard,-3.434101066050289,-3.434101066050289,-17,-589,-0.25,-0.25,-0.25,2,1
2020-01-06,111575,105583,Karen Khachanov,Dusan Lajovic,Hard,3.434101066050289,3.434101066050289,17,589,0.25,0.25,0.25,-2,0
2020-01-06,104745,200282,Rafael Nadal,Alex De Minaur,Hard,15.26369320647791,15.26369320647791,17,8210,0.5,0.5,0.5,1,1
2020-01-06,200282,104745,Alex De Minaur,Rafael Nadal,Hard,-15.26369320647791,-15.26369320647791,-17,-8210,-0.5,-0.5,-0.5,-1,0
2020-01-06,105138,106401,Roberto Bautista Agut,Nick Kyrgios,Hard,0.0,0.0,19,960,0.0,0.0,0.0,0,1
2020-01-06,106401,105138,Nick Kyrgios,Roberto Bautista Agut,Hard,-0.0,-0.0,-19,-960,-0.0,-0.0,-0.0,0,0
2020-01-06,106432,106233,Borna Coric,Dominic Thiem,Hard,-15.26369320647791,-15.26369320647791,-24,-4410,-0.5,-0.5,-1.0,-1,1
2020-01-06,106233,106432,Dominic Thiem,Borna Coric,Hard,15.26369320647791,15.26369320647791,24,4410,0.5,0.5,1.0,1,0
2020-01-06,128034,106432,Hubert Hurkacz,Borna Coric,Hard,-16.70246717252462,-16.70246717252462,-9,-217,-0.5,-0.5,-1.0,-1,1
2020-01-06,106432,128034,Borna Coric,Hubert Hurkacz,Hard,16.70246717252462,16.70246717252462,9,217,0.5,0.5,1.0,1,0
2020-01-06,104731,106426,Kevin Anderson,Cristian Garin,Hard,31.229785076308644,31.229785076308644,-114,-931,0.5,0.5,0.5,0,1
2020-01-06,106426,104731,Cristian Garin,Kevin Anderson,Hard,-31.229785076308644,-31.229785076308644,114,931,-0.5,-0.5,-0.5,0,0
2020-01-06,105138,104424,Roberto Bautista Agut,Go Soeda,Hard,32.0,32.0,109,1874,0.5,0.5,1.0,2,1
2020-01-06,104424,105138,Go Soeda,Roberto Bautista Agut,Hard,-32.0,-32.0,-109,-1874,-0.5,-0.5,-1.0,-2,0
2020-01-06,106043,106432,Diego Schwartzman,Borna Coric,Hard,-31.197575333256054,-31.197575333256054,15,710,-0.5,-0.5,-0.5,0,1
2020-01-06,106432,106043,Borna Coric,Diego Schwartzman,Hard,31.197575333256054,31.197575333256054,-15,-710,0.5,0.5,0.5,0,0
2020-01-06,200390,110602,Kacper Zuk,Dennis Novak,Hard,16.0,16.0,-343,-454,0.5,0.5,0.0,-1,1
2020-01-06,110602,200390,Dennis Novak,Kacper Zuk,Hard,-16.0,-16.0,343,454,-0.5,-0.5,-0.0,1,0
2020-01-06,128034,106233,Hubert Hurkacz,Dominic Thiem,Hard,18.207359011793187,18.207359011793187,-33,-4627,0.5,0.5,0.5,-1,1
2020-01-06,106233,128034,Dominic Thiem,Hubert Hurkacz,Hard,-18.207359011793187,-18.207359011793187,33,4627,-0.5,-0.5,-0.5,1,0
2020-01-06,110602,105550,Dennis Novak,Guido Pella,Hard,-15.26369320647791,-15.26369320647791,-80,-1006,0.0,0.0,0.0,1,1
2020-01-06,105550,110602,Guido Pella,Dennis Novak,Hard,15.26369320647791,15.26369320647791,80,1006,-0.0,-0.0,-0.0,-1,0
2020-01-06,106421,134770,Daniil Medvedev,Casper Ruud,Hard,-29.196805550275258,-29.196805550275258,48,4756,-0.5,-0.5,-0.5,0,1
2020-01-06,134770,106421,Casper Ruud,Daniil Medvedev,Hard,29.196805550275258,29.196805550275258,-48,-4756,0.5,0.5,0.5,0,0
