candidate_id,tour,date,date_key,month,side,player_name,opponent_name,surface,tourney_name,tourney_id,round,raw_prob,artifact_prob,market_prob,odds,actual_result,source_bookmaker,odds_source_confidence,bp_convert_rate_diff,bp_convert_rate_surface_diff,bp_save_rate_diff,bp_save_rate_surface_diff,deciding_set_win_rate_diff,elo_diff,h2h_surface_win_rate_diff,h2h_win_rate_diff,matches_played_diff,points_diff,rank_diff,rank_momentum_diff,recent_form_diff,recent_surface_form_diff,return_rating_diff,return_rating_surface_diff,serve_rating_diff,serve_rating_surface_diff,surface_elo_diff,win_pct_diff,raw_edge,artifact_edge,log_odds,is_near_dog,wf_period,target
atp:2026-01-04:0:A,atp,2026-01-04,2026-01-04,2026-01,A,Adam Walton,Rinky Hijikata,Hard,,,,0.52282125,0.52282125,0.4477611940298506,2.2333333333333343,0.0,,,0.0085467829815218,-0.0398318739414106,-0.0122518218568972,0.0191419457144318,0.0853211636396006,30.01843750941839,-0.0,-0.0,-39.0,186.0,35.0,-0.051899732265029,-0.1244945887863456,-0.175387723031814,-0.0052420108550995,0.0143793885859689,0.0398336826066764,0.0496409934443787,-32.24400922154882,-0.0432953983176645,0.07506005597014942,0.07506005597014942,0.8034952377288112,True,train,0
atp:2026-01-04:7:B,atp,2026-01-04,2026-01-04,2026-01,B,Aleksandar Vukic,Frances Tiafoe,Hard,,,,0.30164945,0.30164945,0.346938775510204,2.882352941176471,0.0,,,-0.1772253130377843,-0.1810325197470261,0.0047840069962655,-0.0086105532026995,0.3356681101926963,-114.91462710218048,-0.0,-0.0,-156.0,-792.0,-54.0,-0.0103494322774813,-0.0039872801166563,-0.0039872801166563,-0.0397715597787547,-0.0386126703094378,0.0151762665529048,0.0170229332754273,-109.59558430750826,-0.1654143077714874,-0.04528932551020404,-0.04528932551020404,1.0586069540544107,True,train,0
atp:2026-01-04:2:A,atp,2026-01-04,2026-01-04,2026-01,A,Alex Michelsen,Learner Tien,Hard,,,,0.33251217,0.33251217,0.3708920187793427,2.6962025316455698,1.0,,,-0.0765296612640328,-0.0804959311708142,-0.0811984922815201,-0.0839548785809212,-0.1758077978445731,-163.14259229640516,0.0,0.4545454545454546,57.0,-240.0,-10.0,-0.24307602758523,-0.5259374916790427,-0.5259374916790427,0.0070445917822533,0.0072975843560085,-0.0624145135636592,-0.0626523907599001,-166.11991574320928,-0.0731538992408557,-0.038379848779342696,-0.038379848779342696,0.9918443132424036,True,train,1
atp:2026-01-04:1:B,atp,2026-01-04,2026-01-04,2026-01,B,Brandon Nakashima,Alejandro Davidovich Fokina,Hard,,,,0.35713255,0.35713255,0.40096618357487923,2.4939759036144578,1.0,,,-0.0339548757236626,-0.0339548757236626,-0.1391771929578921,-0.1391771929578921,-0.0749285360661921,-111.64487448754768,0.0,0.0,-44.0,-1205.0,-21.0,-0.2151319986494812,-0.3091045636636613,-0.3091045636636613,-0.0292828098900096,-0.0292828098900096,-0.0117326538928791,-0.0117326538928791,-100.796196861226,-0.017708663916217,-0.04383363357487924,-0.04383363357487924,0.9138781854687711,True,train,1
atp:2026-01-04:3:A,atp,2026-01-04,2026-01-04,2026-01,A,Cameron Norrie,Ugo Humbert,Hard,,,,0.4673248,0.4673248,0.4320987654320988,2.314285714285714,1.0,,,-0.1912477778832695,-0.1919938046175923,-0.0803811482062416,-0.0964576117551029,0.3428238109719854,-24.557980418278476,0.0,0.0,68.0,193.0,10.0,0.3244189265578868,-0.0383818968175659,-0.0383818968175659,0.0254295561528082,0.0276894300107573,0.0167823702021524,0.0194002161726641,-119.33659554860832,0.0491682819606502,0.03522603456790119,0.03522603456790119,0.839101093183025,True,train,1
atp:2026-01-04:15:B,atp,2026-01-04,2026-01-04,2026-01,B,Dane Sweeny,Reilly Opelka,Hard,,,,0.23419210000000001,0.23419210000000001,0.3942307692307693,2.536585365853658,0.0,,,-0.0680153611587296,-0.068077208940446,-0.18760389532631,-0.1852144018829379,-0.0586464295923114,-87.23087365111178,-0.0,-0.0,-151.0,-693.0,-130.0,0.5144574175824176,0.0186598004003099,0.0186598004003099,0.0383718373760958,0.0386031519220994,-0.0844025153658755,-0.0861994376216156,-99.07670405831186,-0.1953290870488322,-0.16003866923076926,-0.16003866923076926,0.9308188324370646,True,train,0
atp:2026-01-04:9:A,atp,2026-01-04,2026-01-04,2026-01,A,James Duckworth,Alex Michelsen,Hard,,,,0.45760044,0.45760044,0.4342431761786601,2.3028571428571425,0.0,,,-0.0832556689970546,-0.065927100127328,0.2081226646764562,0.2035753075209678,-0.3653095128678894,-41.6036989106608,-0.0,-0.0,-1.0,-606.0,-49.0,0.2177335513442002,0.3095101999121779,0.3095101999121779,-0.0191821971313285,-0.0218342824315645,0.0132446224284096,0.012423242833724,-52.80710586701025,-0.076063492063492,0.023357263821339902,0.023357263821339902,0.8341505880231688,True,train,0
atp:2026-01-04:13:A,atp,2026-01-04,2026-01-04,2026-01,A,Nick Kyrgios,Aleksandar Kovacevic,Hard,,,,0.6200927,0.6200927,0.3741176470588235,2.6729559748427674,0.0,,,0.071566980529385,0.1152243830193725,0.110320010451028,0.1464665408821833,0.3882385204882133,346.2779502132639,-0.0,-0.0,-10.0,-827.0,-611.0,-0.0173812282734646,0.4432150230640033,0.5407102814933198,0.0122257976026219,0.0163627791432793,0.0739148900641677,0.0792686116602133,282.6620396128558,0.3475821092589536,0.24597505294117655,0.24597505294117655,0.9831849667041853,True,train,0
atp:2026-01-04:8:B,atp,2026-01-04,2026-01-04,2026-01,B,Pablo Carreno Busta,Grigor Dimitrov,Hard,,,,0.41816549999999997,0.41816549999999997,0.3438914027149321,2.9078947368421053,0.0,,,-0.145023144071702,0.0223316239806751,-0.1700919168747743,-0.2171516411592217,-0.408265755417574,-260.4029790349857,-0.0,-0.0,-78.0,-512.0,-49.0,0.5495484922125262,-0.4034334765549532,-0.345724730799413,-0.0119292643141123,0.019244529899686,-0.0091512644445714,-0.0144592838017739,-243.45947970004383,-0.061517727104754,0.07427409728506784,0.07427409728506784,1.0674293612314218,True,train,0
atp:2026-01-04:14:A,atp,2026-01-04,2026-01-04,2026-01,A,Quentin Halys,Alexei Popyrin,Hard,,,,0.32230535,0.32230535,0.3824228028503563,2.6149068322981366,1.0,,,0.1469198608748547,0.1693891315665286,-0.1100067426623928,-0.0693613407093388,-0.0341501736709938,-150.01278070922012,0.0,0.0,-89.0,-331.0,-38.0,-0.050140119669772,-0.0961431210639748,-0.0961431210639748,-0.0397593293517161,-0.0320173230978989,-0.0027796549892074,-0.0047412944983057,-145.13443780930288,-0.0718703976435934,-0.0601174528503563,-0.0601174528503563,0.9612284686979184,True,train,1
